date,Inflation,Labour,Financial,Monetary,Real,ESI,ESI_expanding,ESI_ML,RECESSION
2014-04-01,46.590909090909086,5.0,19.166666666666668,40.0,31.25,36.717185999828224,38.17408950188711,29.27927927927928,0.0
2014-05-01,56.17977528089888,5.0,16.25,41.25,33.33333333333333,40.51544224808486,46.43664402366937,30.180180180180184,0.0
2014-06-01,58.88888888888889,4.583333333333333,16.666666666666664,42.916666666666664,32.5,41.79190597188925,47.7118600118579,30.630630630630627,0.0
2014-07-01,53.84615384615385,4.583333333333333,30.416666666666664,47.5,32.916666666666664,43.389876690606826,48.60916624897372,36.03603603603604,0.0
2014-08-01,43.47826086956522,4.166666666666666,39.166666666666664,50.416666666666664,27.500000000000004,42.003653985454896,41.53338823040377,35.585585585585584,0.0
2014-09-01,36.55913978494624,2.5,30.833333333333336,49.583333333333336,27.916666666666668,38.0897305326927,35.69467417286564,33.33333333333333,0.0
2014-10-01,25.53191489361702,1.6666666666666667,67.08333333333333,52.083333333333336,20.0,46.34024261722783,48.36432455788054,37.38738738738739,0.0
2014-11-01,23.157894736842106,2.9166666666666665,40.416666666666664,55.41666666666667,20.416666666666668,38.511345242248176,36.69198740260667,32.88288288288289,0.0
2014-12-01,19.791666666666664,2.083333333333333,61.25000000000001,67.5,30.833333333333336,50.14160336427572,49.99178341592988,45.94594594594595,0.0
2015-01-01,14.432989690721648,3.75,62.083333333333336,87.91666666666667,32.083333333333336,57.39914757677077,54.555456383383756,57.65765765765766,0.0
2015-02-01,22.448979591836736,3.75,42.5,80.41666666666667,47.91666666666667,53.81733074852545,51.64079598121472,58.55855855855856,0.0
2015-03-01,25.252525252525253,5.0,34.583333333333336,69.16666666666667,44.583333333333336,47.580499105580465,48.90187490703503,48.64864864864865,0.0
2015-04-01,28.000000000000004,7.916666666666666,34.166666666666664,67.08333333333333,52.5,49.32348654906217,50.79232013269862,56.30630630630631,0.0
2015-05-01,31.683168316831683,5.416666666666667,41.66666666666667,58.75,47.5,47.09929541134022,50.901115023675175,50.0,0.0
2015-06-01,32.35294117647059,5.0,48.75,56.25,49.166666666666664,48.59271060148215,54.74219914779821,51.80180180180181,0.0
2015-07-01,26.21359223300971,2.9166666666666665,48.333333333333336,57.49999999999999,39.58333333333333,45.549917601586976,51.88878266623226,42.792792792792795,0.0
2015-08-01,22.115384615384613,4.166666666666666,74.16666666666667,69.58333333333333,44.583333333333336,57.974461864355874,62.264458838473416,60.36036036036037,0.0
2015-09-01,20.952380952380953,7.083333333333333,76.25,75.83333333333333,52.083333333333336,62.21826376163424,65.2662881109194,67.56756756756756,0.0
2015-10-01,22.641509433962266,7.916666666666666,57.08333333333333,75.83333333333333,55.41666666666667,57.6365605107975,58.92123325934734,64.86486486486487,0.0
2015-11-01,27.102803738317753,8.333333333333332,48.333333333333336,68.75,66.25,56.70506750702729,56.19211044917115,66.21621621621621,0.0
2015-12-01,28.703703703703702,10.0,57.49999999999999,73.33333333333333,61.25000000000001,59.16452466878793,58.9806509834942,68.91891891891892,0.0
2016-01-01,34.862385321100916,11.666666666666666,76.25,70.41666666666667,57.49999999999999,63.51039973841055,65.50161272547007,70.27027027027027,0.0
2016-02-01,27.27272727272727,13.333333333333334,66.66666666666666,80.0,40.416666666666664,59.30159648392098,61.16827896416824,63.06306306306306,0.0
2016-03-01,48.64864864864865,13.750000000000002,48.333333333333336,79.16666666666666,64.58333333333334,63.0876249319839,58.146446451386936,71.17117117117117,0.0
