date,ESI,RECESSION,stress_level,Inflation,Labour,Financial,Monetary,Real,ESI_expanding,ESI_ML
1989-11-01,57.0791921044337,0.0,Moderate,,67.13286713286713,,44.38202247191011,34.831460674157306,57.32284690144176,
1989-12-01,56.5445134322961,0.0,Moderate,,67.36111111111111,,40.78212290502793,36.312849162011176,57.22754732552878,
1990-01-01,57.47746120606108,0.0,Moderate,,66.89655172413794,,25.555555555555557,48.888888888888886,56.401401438871055,
1990-02-01,57.46556529268412,0.0,Moderate,,69.17808219178082,,25.96685082872928,44.751381215469614,57.19970984173585,
1990-03-01,58.3258680779511,0.0,Moderate,,69.38775510204081,,33.51648351648351,44.5054945054945,57.44709391208555,
1990-04-01,60.72967575997837,0.0,High,,69.5945945945946,,39.34426229508197,50.27322404371585,58.68938418602263,
1990-05-01,58.1111868648448,0.0,Moderate,,70.46979865771812,,38.04347826086957,37.5,57.87828442084638,
1990-06-01,56.2143056465948,0.0,Moderate,,71.33333333333334,,26.486486486486488,35.13513513513514,57.90335249081016,
1990-07-01,53.6897446093345,0.0,Moderate,,73.50993377483444,,11.29032258064516,27.956989247311824,54.50371655930386,
1990-08-01,55.52890335892782,1.0,Moderate,,76.31578947368422,,8.02139037433155,29.94652406417112,52.40349929782733,
1990-09-01,56.91702898645445,1.0,Moderate,,80.3921568627451,,6.382978723404255,26.595744680851062,53.13595776611545,
1990-10-01,58.33648672487064,1.0,Moderate,,83.76623376623377,,5.82010582010582,24.33862433862434,54.304240879893136,
1990-11-01,61.171788586228544,1.0,High,,85.80645161290322,,7.894736842105263,29.47368421052631,59.87977644496014,
1990-12-01,63.76576142853404,1.0,High,,87.82051282051282,,7.853403141361256,34.55497382198953,61.0908058374698,
1991-01-01,71.9376564846539,1.0,High,,88.53503184713377,80.0,7.291666666666667,35.41666666666667,70.0684473885256,
1991-02-01,62.578143395713546,1.0,High,,89.24050632911393,36.36363636363637,5.699481865284974,49.740932642487046,56.97318190493479,
1991-03-01,62.15261285649421,1.0,High,,91.8238993710692,0.0,6.185567010309279,61.855670103092784,56.280379305974975,
1991-04-01,60.56418351876741,0.0,High,,91.875,0.0,6.153846153846154,56.92307692307692,55.136814967294654,
1991-05-01,60.63645529594949,0.0,High,,90.06211180124224,7.142857142857142,5.1020408163265305,57.6530612244898,55.396006257152365,
1991-06-01,58.65853331806005,0.0,Moderate,,88.27160493827161,13.333333333333334,5.583756345177665,51.26903553299492,55.44334665865328,
